Marca temporal	"Parte 1:
1. Género"	2. Edad: 	3. Año actual cursando en la carrera de Ingeniería en Sistemas:	4. ¿Trabaja o ha trabajado en un área relacionada con la ingeniería en sistemas?																																																																																														5.En qué área de ingeniería en sistemas trabaja actualmente.	6. Cuánto tiempo ha trabajado en esta área	 La organización en la que ha trabajado o está trabajando es:	Cuál es su rango salarial actual	De continuar en su área cuánto espera ser su próximo rango salarial.	Planea continuar especializándose en su área.	 Los rangos salariales de esta otra especialidad son un motivador para cambiar de área de especialización	En qué otras área planea especializarse.	¿Ha seleccionado ya su especialidad dentro de la Ingeniería en Sistemas?	Ha seleccionado su especialidad, indique cual es	Amigos	Familiares	Relaciones Sociales	Entorno Laboral	Compañeros de la carrera	Maestros	Alguna persona en internet	Situación financiera actual	Expectativa de una mejor situación financiera	Salarios del área de especialización	Costos de los estudios en esa área de especialización	¿Qué factores influyeron o cree que seran determinantes en su decisión? Marque todas las opciones que apliquen	Considera que las oportunidades laborales son un factor determinante al momento de elegir su especialidad	Considera que las expectativas salariales son un factor determinante en su decisión de especialidad
8/3/2023 22:49:08	Hombre	Mayor de 25 años	Cuarto año	Sí																																																																																														Soporte tecnico	1 año a 3 años	Privada	Menos  L15,000	L25,000-L35,000	Sí	Si	Infraestructura, Ciberseguridad, Redes, Administración de bases de datos	No		1	2	2	3	1	1	1	4	5	5	2	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/3/2023 22:49:42	Hombre	22-25 años	Cuarto año	No																																																																																																						No		1	1	1	3	1	1	1	5	3	3	1	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/3/2023 22:50:22	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo Backend	6 meses  a 1 año	Privada	L15,000-L25,000	L25,000-L35,000	Sí	No	Ciberseguridad, Desarrollo Backend	Si	Ciberseguridad	2	2	2	2	2	4	4	5	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/3/2023 22:52:21	Hombre	22-25 años	Quinto año	No																																																																																																						No		2	3	3	3	4	4	3	3	4	4	4	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/3/2023 22:58:32	Hombre	22-25 años	Quinto año	Sí																																																																																														Full stack	Menos de 6 meses	Privada	Menos  L15,000	L25,000-L35,000	Sí	Si	Project Management, Desarrollador de juegos, Quality Assurance, Desarrollo móvil, Ciberseguridad, Desarrollo Front-end, Desarrollo Backend, Administración de bases de datos, Redes, Analista de datos, Diseñador, Infraestructura	Si	Ciberseguridad	1	1	1	2	2	2	3	3	5	4	4	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/3/2023 22:59:54	Hombre	Mayor de 25 años	Quinto año	No																																																																																																						No		1	1	1	1	1	1	1	3	3	2	3	Perspectivas futuras en el campo	Si	Si
8/3/2023 23:04:07	Hombre	22-25 años	Quinto año	No																																																																																																						Si	Ciberseguridad	3	3	2	2	4	4	5	5	5	5	5	Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/4/2023 5:23:04	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo en general 	1 año a 3 años	Privada	Menos  L15,000	Menos de L25,000	Sí	Si	Diseñador, Desarrollo móvil, Desarrollo Front-end, Desarrollo Backend	Si	Desarrollo web y móvil 	1	1	1	5	2	3	4	4	5	5	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/4/2023 7:56:08	Mujer	22-25 años	Quinto año	Sí																																																																																														Ciberseguridad	1 año a 3 años	Privada	L15,000-L25,000	L25,000-L35,000	Sí	No	Analista de datos, Project Management	Si	Ciberseguridad	4	3	3	5	4	4	2	5	5	5	4	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/5/2023 16:28:18	Hombre	22-25 años	Quinto año	Sí																																																																																														Analista de datos	1 año a 3 años	Privada	Más de L45,000	L25,000-L35,000	Sí	Si	Desarrollador de juegos	Si	Desarrollo Backend	3	3	3	3	1	3	3	2	2	2	2	Oportunidades laborales	Si	Si
